,level_0,index, community_id,Median_household_income,Mean_household_income,Median_family_income,Mean_family_income,Per_capita_income,18_25_no_high_diploma,25_over_less_than_9th_grade,25_over_9_12_grade_wno_diploma,25_plus_poverty_rate,male_less_than_hs_diploma,male_hs,male_college,male_b_or_more,female_less_than_hs_diploma,female_hs,female_college,female_b_or_more,MALE_LESS_THAN_HS_DIPLOMA,MALE_HS,MALE_COLLEGE,MALE_B_OR_MORE,FEMALE_LESS_THAN_HS_DIPLOMA,FEMALE_HS,FEMALE_COLLEGE,FEMALE_B_OR_MORE,Crime Rate,Total_Population,White_Prop,Black_Prop,SES
11,19,70,71.0,30587.8,40641.13,36725.13,46947.4,4962.823717208209,0.2545549967198775,0.045252596486729066,0.1343803692781126,0.3271304013335043,0.0,7.013698630136986,7.219178082191781,6.794520547945205,0.1694915254237288,9.847457627118644,9.288135593220339,0.0,191.5644176839327,404.7897558561531,296.3764434180139,84.07076872319367,247.69263787014398,452.49187720728065,584.5149687584895,256.8345014941592,0.166789187372666,47611.0,0.006112032933565772,0.9758039108609355,74
12,20,24,25.0,32293.04,43185.42,36905.38,48233.21,3590.62691177503,0.25041873477123,0.06410705556460812,0.18262832002607138,0.35521476291347565,38.41294117647059,121.92294117647059,139.75058823529412,240.83235294117648,93.02698495070057,243.8702646600934,246.00622729631553,408.8220031136482,284.4919450800915,419.9891533180778,319.04032036613273,64.142471395881,338.39122957867585,542.2335141213043,470.22114557841127,163.29982141676038,0.1870505761651172,99711.0,0.07609992879421529,0.8510094172157535,73
13,25,68,69.0,27951.83,41919.08,32566.17,47556.58,6048.920819507443,0.25524216524216525,0.03246496249506514,0.12036468614291355,0.42267222660876436,2.2318840579710146,5.246376811594203,17.0,3.869565217391304,33.399103139013455,37.20627802690583,33.47982062780269,11.515695067264573,109.03289967475607,308.2370527895922,317.38378784088064,100.2236677508131,155.24984738815732,280.1676986134124,421.4428359640708,202.88575913490888,0.2039331486498828,32849.0,0.014338336022405553,0.9644738043776067,66
14,2,29,30.0,30876.83,37988.33,31098.17,38203.89,2655.904831163129,0.4228023711635912,0.3400004807923458,0.2027847492667917,0.3631919803836723,164.54506802721087,105.14115646258503,74.99914965986395,16.59013605442177,16.787465940054496,16.88010899182561,8.401907356948229,27.219346049046322,1486.9898053753475,1051.747451343837,345.3778962001854,9.078544949026877,71.96644295302013,82.54660700969426,61.64727815063385,26.87546607009694,0.065023805930215,72881.0,0.6431717457224791,0.11868662614398814,96
15,4,62,63.0,36529.0,45765.88,38125.12,46676.0,2377.7519130284045,0.32113513513513514,0.348210970464135,0.14114634687985786,0.223901843215634,15.541155866900175,32.43782837127846,31.05954465849387,34.14711033274956,18.452768729641694,41.87133550488599,29.827361563517915,5.0537459283387625,34.44516129032258,58.35913978494624,91.63225806451612,12.53763440860215,14.929924242424242,49.78598484848485,90.57007575757575,38.67613636363637,0.06478294247294519,40381.0,0.48109259305118746,0.03613085361927639,93
16,6,60,61.0,31030.47,39115.65,35012.06,42076.12,4902.3991538054715,0.2711684189644912,0.21880459967390373,0.15688234789324637,0.3426757058268257,87.65028453181583,208.23745473357476,115.17175375064666,64.20538023797207,130.48787728847105,191.73033151904997,199.1548738248392,53.7367639782286,68.05172413793103,110.66283524904215,52.88122605363985,9.669348659003832,70.56972343522561,118.7764192139738,100.40058224163027,18.758951965065503,0.12584739650944757,41598.0,0.4895427664791577,0.2726813789124477,91
17,10,22,23.0,37638.33,47996.2,38266.27,47691.87,4317.527286068054,0.26546511627906977,0.15780035787321064,0.1505409637014315,0.35803680981595093,7.01929012345679,25.685956790123456,48.77469135802469,79.72993827160494,5.334683954619125,23.918152350081037,30.753646677471636,94.05024311183145,298.1815828402367,344.6299926035503,189.54918639053255,33.772004437869825,279.8348926077217,448.0226643826591,328.15904598761364,89.1431018579523,0.16789874346510134,54515.0,0.20148582958818673,0.4264514353847565,85
18,11,57,58.0,34918.2,43816.8,36429.5,46224.3,2933.605257194652,0.2763246878001921,0.3290967204002223,0.129580719447312,0.2695223536885571,32.59857904085258,54.730017761989345,39.284191829484904,27.035523978685614,38.96032831737346,87.02804377564979,30.969904240766073,29.4343365253078,23.50381679389313,21.946564885496183,3.366412213740458,0.0,10.140096618357488,9.922705314009661,10.898550724637682,10.454106280193237,0.06573759347382732,44130.0,0.6142760027192387,0.014208021753908905,84
19,13,33,34.0,23507.2,36857.0,33863.0,45548.6,5497.111913357401,0.11650400582665696,0.21886198050282196,0.11611390456644433,0.46543663417137,15.074960127591707,78.00797448165869,81.49441786283892,48.32057416267943,16.410562180579216,78.96252129471891,56.16865417376491,56.136286201022145,57.725,41.603125,17.771875,5.75625,125.8130081300813,32.71951219512195,69.77845528455285,17.327235772357724,0.08844765342960288,13850.0,0.1395667870036101,0.10931407942238267,82
20,14,65,66.0,33110.09,40450.27,36779.91,44068.91,2395.946210008349,0.2920859351769254,0.15209843499071068,0.1518521900683314,0.3036203041849041,21.963291139240507,40.29873417721519,16.90759493670886,22.60759493670886,22.613186813186815,43.35274725274725,28.802197802197803,24.607692307692307,139.87274593168158,340.9277232077408,310.8585251429409,53.79431168450374,212.74692230070636,469.19535822401616,437.1808274470232,157.21735620585267,0.11456131312951877,56293.0,0.1482067042083385,0.49954701295010034,80
21,17,30,31.0,38654.82,49813.36,40570.64,54822.55,6042.768518253809,0.19664876739077372,0.2500707675557975,0.10100798403193613,0.27090682271819994,15.220050125313284,32.645112781954886,33.288721804511276,147.09323308270677,8.776119402985074,37.85918234912395,31.582738481505515,99.25827384815055,36.48936170212766,29.61121856866538,38.1431334622824,27.228239845261122,11.727799227799228,30.268339768339768,25.173745173745175,37.19305019305019,0.07710340490008291,34979.0,0.5491866548500529,0.03928071128391321,76
22,21,19,20.0,38008.5,49199.5,44061.67,53378.33,3543.4852633274277,0.18575809199318571,0.26583909744140755,0.15281579477536766,0.22880196091598953,7.319672131147541,72.20327868852459,57.924590163934425,33.72295081967213,38.66342412451362,68.24124513618678,87.49027237354086,82.0408560311284,5.458874458874459,6.415584415584416,13.376623376623376,27.246753246753247,6.338028169014085,11.753521126760564,15.767605633802816,4.746478873239437,0.07167015622483491,24836.0,0.3855693348365276,0.0216621033982928,71
23,22,18,19.0,42855.29,53888.76,47705.53,57724.76,3474.2946034476217,0.2637901045951346,0.228467813705132,0.16104822646946645,0.21583379243124126,49.163440860215054,176.93763440860215,110.00430107526881,91.27913978494624,54.59914495114006,173.5490635179153,123.33265472312704,78.88355048859935,54.49318181818182,26.186363636363637,20.770454545454545,13.061363636363636,15.398947368421053,36.76421052631579,34.323157894736845,10.402105263157894,0.06243913543866749,79069.0,0.42533736356852875,0.0402180374103631,70
24,23,61,62.0,45364.25,55500.75,47674.25,57668.5,3369.371249673885,0.24196127946127946,0.19249447928628213,0.11706739687306775,0.1649315431498984,58.40494011976048,162.14820359281438,129.14221556886227,78.62649700598803,141.51874615857406,229.0842040565458,145.11739397664414,60.49416103257529,0.0,16.183673469387756,8.326530612244898,0.0,1.4404761904761905,0.3333333333333333,17.857142857142858,7.535714285714286,0.05285677015392643,19165.0,0.6052700234803027,0.010905296112705453,69
25,24,56,57.0,44104.4,55788.4,53084.6,61721.2,6169.952850407201,0.16404609475032012,0.19752327088488278,0.12628019323671497,0.16517026039825616,55.27557058326289,153.9797125950972,95.26542688081149,38.129332206255285,74.82557154953429,163.67739204064353,57.66892464013548,53.517358171041494,0.43243243243243246,0.0,7.162162162162162,5.297297297297297,0.2909090909090909,26.89090909090909,20.4,0.0,0.07486783826260894,13998.0,0.6398771253036148,0.008715530790112874,67
