,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 6814, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6903, Cook County, Illinois",196,44,7,16,14,7,152,49,48,48,7
"Census Tract 6904, Cook County, Illinois",21,10,0,0,10,0,11,0,0,11,0
"Census Tract 6905, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6909, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6910, Cook County, Illinois",22,21,0,0,20,1,1,0,1,0,0
"Census Tract 6911, Cook County, Illinois",20,20,0,1,10,9,0,0,0,0,0
"Census Tract 6912, Cook County, Illinois",81,31,0,0,31,0,50,0,20,0,30
"Census Tract 6913, Cook County, Illinois",5,5,0,0,0,5,0,0,0,0,0
"Census Tract 6914, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 6915, Cook County, Illinois",14,7,0,0,7,0,7,0,0,7,0
"Census Tract 7001, Cook County, Illinois",205,78,10,29,19,20,127,18,48,21,40
"Census Tract 7002, Cook County, Illinois",813,326,39,129,92,66,487,74,164,190,59
"Census Tract 7003.01, Cook County, Illinois","1,203",559,56,270,130,103,644,134,286,138,86
"Census Tract 7003.02, Cook County, Illinois","1,533",748,59,197,260,232,785,93,224,252,216
"Census Tract 7004.01, Cook County, Illinois",712,417,11,103,162,141,295,0,178,37,80
"Census Tract 7004.02, Cook County, Illinois",300,122,7,33,59,23,178,9,78,53,38
"Census Tract 7005.01, Cook County, Illinois",426,256,81,111,52,12,170,44,89,37,0
"Census Tract 7005.02, Cook County, Illinois",110,65,0,0,22,43,45,0,4,30,11
"Census Tract 7101, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7102, Cook County, Illinois",59,31,0,6,17,8,28,0,11,17,0
"Census Tract 7103, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7104, Cook County, Illinois",30,14,0,0,0,14,16,0,16,0,0
"Census Tract 7105, Cook County, Illinois",18,18,0,18,0,0,0,0,0,0,0
"Census Tract 7106, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7107, Cook County, Illinois",11,2,0,1,0,1,9,1,0,8,0
"Census Tract 7108, Cook County, Illinois",1,0,0,0,0,0,1,1,0,0,0
"Census Tract 7109, Cook County, Illinois",4,0,0,0,0,0,4,0,4,0,0
"Census Tract 7110, Cook County, Illinois",7,7,0,0,0,7,0,0,0,0,0
"Census Tract 7111, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7112, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7113, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7114, Cook County, Illinois",2,1,0,0,0,1,1,0,1,0,0
"Census Tract 7115, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7201, Cook County, Illinois","1,282",577,4,67,92,414,705,21,88,68,528
"Census Tract 7202, Cook County, Illinois","1,007",502,12,83,55,352,505,0,93,116,296
"Census Tract 7203, Cook County, Illinois","1,526",710,6,84,185,435,816,26,119,216,455
"Census Tract 7204, Cook County, Illinois","1,186",610,0,105,259,246,576,6,100,173,297
"Census Tract 7205, Cook County, Illinois","1,327",602,9,46,174,373,725,40,79,144,462
"Census Tract 7206, Cook County, Illinois",932,434,7,35,87,305,498,4,57,107,330
"Census Tract 7207, Cook County, Illinois",846,438,0,42,136,260,408,0,64,108,236
"Census Tract 7301, Cook County, Illinois",9,9,0,0,9,0,0,0,0,0,0
"Census Tract 7302.01, Cook County, Illinois",1,1,0,0,1,0,0,0,0,0,0
"Census Tract 7302.02, Cook County, Illinois",72,18,0,6,12,0,54,12,24,6,12
"Census Tract 7303, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7304, Cook County, Illinois",1,1,0,0,0,1,0,0,0,0,0
"Census Tract 7305, Cook County, Illinois",78,27,0,0,26,1,51,0,0,51,0
"Census Tract 7306, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 7307, Cook County, Illinois",6,6,0,0,6,0,0,0,0,0,0
"Census Tract 7401, Cook County, Illinois","1,881",910,36,272,286,316,971,78,267,301,325
"Census Tract 7402, Cook County, Illinois","3,417","1,706",0,647,444,615,"1,711",194,407,508,602
"Census Tract 7403, Cook County, Illinois","2,694","1,327",64,292,497,474,"1,367",48,333,591,395
"Census Tract 7404, Cook County, Illinois","2,581","1,367",13,450,518,386,"1,214",43,442,304,425
"Census Tract 7501, Cook County, Illinois",52,14,0,0,14,0,38,13,25,0,0
"Census Tract 7502, Cook County, Illinois",910,453,0,110,108,235,457,18,42,63,334
"Census Tract 7503, Cook County, Illinois","1,531",768,44,185,197,342,763,42,121,189,411
"Census Tract 7504, Cook County, Illinois","1,444",746,35,77,327,307,698,0,142,249,307
"Census Tract 7505, Cook County, Illinois","1,118",485,4,165,206,110,633,36,216,215,166
"Census Tract 7506, Cook County, Illinois",3,1,0,0,0,1,2,0,1,0,1
"Census Tract 7608.01, Cook County, Illinois","2,397","1,316",130,514,147,525,"1,081",34,332,388,327
"Census Tract 7608.02, Cook County, Illinois","1,762",759,108,123,299,229,"1,003",127,300,242,334
"Census Tract 7608.03, Cook County, Illinois","3,562","1,920",263,628,691,338,"1,642",330,497,432,383
"Census Tract 7702.01, Cook County, Illinois","3,220","1,516",41,279,591,605,"1,704",117,483,587,517
"Census Tract 7702.02, Cook County, Illinois","3,199","1,413",115,269,501,528,"1,786",147,478,614,547
"Census Tract 7703, Cook County, Illinois","4,511","2,246",112,762,780,592,"2,265",145,600,800,720
"Census Tract 7704, Cook County, Illinois","2,232","1,114",27,416,379,292,"1,118",62,418,330,308
"Census Tract 7705, Cook County, Illinois",386,207,32,76,99,0,179,22,68,88,1
"Census Tract 7706.01, Cook County, Illinois","1,775",797,76,239,216,266,978,155,325,248,250
"Census Tract 7706.02, Cook County, Illinois","1,835",871,39,327,354,151,964,172,286,240,266
"Census Tract 7707, Cook County, Illinois","1,516",776,51,255,292,178,740,63,357,225,95
"Census Tract 7708, Cook County, Illinois","2,858","1,487",145,510,454,378,"1,371",199,271,471,430
"Census Tract 7709.01, Cook County, Illinois","3,453","1,618",224,556,349,489,"1,835",372,627,432,404
"Census Tract 7709.02, Cook County, Illinois","2,414","1,035",121,424,303,187,"1,379",212,378,486,303
"Census Tract 8001, Cook County, Illinois","1,545",803,6,6,62,729,742,18,16,78,630
"Census Tract 8002, Cook County, Illinois","3,847","1,944",33,60,174,"1,677","1,903",14,63,171,"1,655"
"Census Tract 8003, Cook County, Illinois","1,875","1,017",30,56,60,871,858,0,33,75,750
"Census Tract 8004, Cook County, Illinois","2,065",996,11,0,48,937,"1,069",13,32,107,917
"Census Tract 8005, Cook County, Illinois","2,938","1,486",0,93,93,"1,300","1,452",3,55,87,"1,307"
"Census Tract 8006, Cook County, Illinois","1,479",730,0,7,34,689,749,5,28,67,649
"Census Tract 8007, Cook County, Illinois","2,758","1,295",12,22,95,"1,166","1,463",0,115,108,"1,240"
"Census Tract 8008, Cook County, Illinois","1,353",640,12,75,86,467,713,0,84,91,538
"Census Tract 8009, Cook County, Illinois","1,893",976,25,82,160,709,917,25,96,141,655
"Census Tract 8010, Cook County, Illinois","2,529","1,171",11,71,114,975,"1,358",13,146,220,979
"Census Tract 8011, Cook County, Illinois","2,634","1,310",17,50,159,"1,084","1,324",1,19,157,"1,147"
"Census Tract 8012, Cook County, Illinois","2,190",976,0,0,93,883,"1,214",13,62,102,"1,037"
"Census Tract 8013, Cook County, Illinois","2,643","1,156",2,21,143,990,"1,487",19,81,178,"1,209"
"Census Tract 8014, Cook County, Illinois","1,551",688,9,126,83,470,863,25,106,236,496
"Census Tract 8015, Cook County, Illinois","4,179","1,923",160,257,347,"1,159","2,256",155,321,667,"1,113"
"Census Tract 8016.01, Cook County, Illinois","2,680","1,180",7,147,145,881,"1,500",81,221,216,982
"Census Tract 8016.03, Cook County, Illinois","1,547",703,46,197,149,311,844,35,232,209,368
"Census Tract 8016.05, Cook County, Illinois","3,294","1,536",29,81,294,"1,132","1,758",40,148,446,"1,124"
"Census Tract 8016.06, Cook County, Illinois","3,609","1,751",0,351,258,"1,142","1,858",149,163,317,"1,229"
"Census Tract 8016.07, Cook County, Illinois","2,719","1,252",75,123,298,756,"1,467",59,201,333,874
"Census Tract 8016.08, Cook County, Illinois","4,078","1,884",51,186,285,"1,362","2,194",124,353,419,"1,298"
"Census Tract 8017.01, Cook County, Illinois","2,027","1,056",8,52,148,848,971,8,31,213,719
"Census Tract 8017.02, Cook County, Illinois","2,651","1,302",0,79,153,"1,070","1,349",0,83,293,973
"Census Tract 8018, Cook County, Illinois","3,522","1,643",13,105,278,"1,247","1,879",25,158,372,"1,324"
"Census Tract 8019.01, Cook County, Illinois","2,524","1,132",83,105,166,778,"1,392",55,208,364,765
"Census Tract 8019.02, Cook County, Illinois","1,912",938,17,105,101,715,974,24,68,230,652
"Census Tract 8020.02, Cook County, Illinois","2,959","1,327",27,220,269,811,"1,632",105,323,397,807
"Census Tract 8020.03, Cook County, Illinois","1,214",637,25,70,95,447,577,55,93,75,354
"Census Tract 8020.04, Cook County, Illinois","2,212",906,54,230,281,341,"1,306",85,413,399,409
"Census Tract 8021, Cook County, Illinois","1,944",905,12,111,68,714,"1,039",9,160,173,697
"Census Tract 8022, Cook County, Illinois","2,675","1,194",12,125,144,913,"1,481",34,133,310,"1,004"
"Census Tract 8023, Cook County, Illinois","2,777","1,317",0,103,200,"1,014","1,460",36,268,316,840
"Census Tract 8024.02, Cook County, Illinois","2,307",904,34,110,403,357,"1,403",107,439,365,492
"Census Tract 8024.03, Cook County, Illinois","1,062",418,37,28,139,214,644,18,152,193,281
"Census Tract 8024.04, Cook County, Illinois","2,876","1,123",47,290,379,407,"1,753",181,424,665,483
"Census Tract 8025.03, Cook County, Illinois","2,849","1,396",60,248,407,681,"1,453",31,468,364,590
"Census Tract 8025.04, Cook County, Illinois","2,512","1,131",35,394,365,337,"1,381",130,465,328,458
"Census Tract 8025.05, Cook County, Illinois","1,761",833,11,205,234,383,928,35,232,379,282
"Census Tract 8025.06, Cook County, Illinois",749,340,23,160,79,78,409,55,98,150,106
"Census Tract 8026.05, Cook County, Illinois","4,254","2,134",151,293,604,"1,086","2,120",132,595,560,833
"Census Tract 8026.07, Cook County, Illinois",886,434,29,79,165,161,452,16,125,182,129
"Census Tract 8026.08, Cook County, Illinois","4,663","2,197",13,462,750,972,"2,466",43,581,894,948
"Census Tract 8026.09, Cook County, Illinois","1,843",906,72,273,317,244,937,81,375,226,255
"Census Tract 8026.10, Cook County, Illinois",891,463,24,89,146,204,428,15,142,134,137
"Census Tract 8027.01, Cook County, Illinois","3,054","1,529",55,480,323,671,"1,525",72,399,468,586
"Census Tract 8027.02, Cook County, Illinois","2,486","1,214",74,330,396,414,"1,272",97,374,349,452
"Census Tract 8028.01, Cook County, Illinois","2,804","1,388",68,151,337,832,"1,416",44,335,371,666
"Census Tract 8028.02, Cook County, Illinois","3,821","1,795",97,355,613,730,"2,026",141,556,575,754
"Census Tract 8029, Cook County, Illinois","3,878","1,869",71,347,342,"1,109","2,009",22,318,380,"1,289"
"Census Tract 8030.05, Cook County, Illinois","1,770",802,27,108,181,486,968,8,172,326,462
"Census Tract 8030.07, Cook County, Illinois","3,318","1,613",47,268,276,"1,022","1,705",22,252,492,939
"Census Tract 8030.08, Cook County, Illinois","2,708","1,282",0,215,369,698,"1,426",44,286,319,777
"Census Tract 8030.10, Cook County, Illinois","2,849","1,404",34,162,325,883,"1,445",7,346,196,896
"Census Tract 8030.12, Cook County, Illinois","1,377",604,17,53,113,421,773,26,107,185,455
"Census Tract 8030.13, Cook County, Illinois","3,642","1,771",63,248,497,963,"1,871",121,245,591,914
"Census Tract 8030.14, Cook County, Illinois","1,758",848,20,211,264,353,910,23,236,175,476
"Census Tract 8030.15, Cook County, Illinois","2,927","1,355",29,313,266,747,"1,572",75,333,395,769
"Census Tract 8030.16, Cook County, Illinois","1,067",481,12,141,70,258,586,34,134,181,237
"Census Tract 8030.17, Cook County, Illinois","3,348","1,588",71,217,208,"1,092","1,760",98,349,336,977
"Census Tract 8031, Cook County, Illinois","2,073",971,0,125,236,610,"1,102",38,253,190,621
"Census Tract 8032, Cook County, Illinois","4,000","1,540",55,291,444,750,"2,460",123,782,634,921
"Census Tract 8033, Cook County, Illinois","3,841","1,850",46,374,394,"1,036","1,991",169,393,414,"1,015"
"Census Tract 8034, Cook County, Illinois","3,816","1,913",15,415,491,992,"1,903",0,427,381,"1,095"
"Census Tract 8035, Cook County, Illinois","3,912","1,915",41,351,417,"1,106","1,997",94,403,339,"1,161"
"Census Tract 8036.03, Cook County, Illinois","3,785","1,843",56,198,312,"1,277","1,942",10,329,614,989
"Census Tract 8036.04, Cook County, Illinois","2,633","1,239",57,288,375,519,"1,394",92,264,502,536
"Census Tract 8036.05, Cook County, Illinois","3,610","1,649",33,295,432,889,"1,961",92,389,444,"1,036"
"Census Tract 8036.06, Cook County, Illinois","1,508",731,19,205,138,369,777,128,129,290,230
"Census Tract 8036.07, Cook County, Illinois","3,025","1,484",70,214,335,865,"1,541",23,328,450,740
"Census Tract 8036.08, Cook County, Illinois","3,494","1,651",49,169,548,885,"1,843",62,284,464,"1,033"
"Census Tract 8036.10, Cook County, Illinois","3,489","1,622",10,266,470,876,"1,867",12,346,503,"1,006"
"Census Tract 8036.11, Cook County, Illinois","1,966",910,24,196,270,420,"1,056",57,227,354,418
"Census Tract 8036.12, Cook County, Illinois",995,431,28,83,175,145,564,46,91,226,201
"Census Tract 8037.01, Cook County, Illinois","1,620",824,11,124,141,548,796,7,135,188,466
"Census Tract 8037.02, Cook County, Illinois","3,596","1,805",106,332,241,"1,126","1,791",70,295,463,963
"Census Tract 8038, Cook County, Illinois","2,719","1,256",49,266,449,492,"1,463",68,395,398,602
"Census Tract 8039.01, Cook County, Illinois","2,146",939,29,280,273,357,"1,207",55,295,370,487
"Census Tract 8039.02, Cook County, Illinois","2,285","1,146",41,344,480,281,"1,139",101,356,420,262
"Census Tract 8040, Cook County, Illinois","2,691","1,251",78,431,479,263,"1,440",102,398,599,341
"Census Tract 8041.02, Cook County, Illinois","4,036","1,940",79,227,271,"1,363","2,096",67,333,348,"1,348"
"Census Tract 8041.04, Cook County, Illinois","2,384","1,189",57,223,345,564,"1,195",9,339,330,517
"Census Tract 8041.05, Cook County, Illinois","2,296","1,077",24,203,175,675,"1,219",57,237,339,586
"Census Tract 8041.06, Cook County, Illinois","3,620","1,796",64,270,483,979,"1,824",48,449,406,921
"Census Tract 8041.08, Cook County, Illinois","1,096",643,26,10,211,396,453,4,6,142,301
"Census Tract 8041.09, Cook County, Illinois","1,782",777,19,47,177,534,"1,005",121,223,276,385
"Census Tract 8042.01, Cook County, Illinois","4,235","1,937",71,177,325,"1,364","2,298",47,246,604,"1,401"
"Census Tract 8042.02, Cook County, Illinois","4,081","1,967",10,195,665,"1,097","2,114",22,297,634,"1,161"
"Census Tract 8043.05, Cook County, Illinois","2,954","1,522",137,756,407,222,"1,432",99,469,511,353
"Census Tract 8043.06, Cook County, Illinois","2,310","1,143",145,423,326,249,"1,167",160,589,275,143
"Census Tract 8043.08, Cook County, Illinois","2,648","1,129",57,357,303,412,"1,519",87,498,430,504
"Census Tract 8043.09, Cook County, Illinois",874,375,21,147,170,37,499,18,168,153,160
"Census Tract 8043.10, Cook County, Illinois","3,790","1,930",129,568,475,758,"1,860",129,615,440,676
"Census Tract 8043.11, Cook County, Illinois","2,370","1,140",40,196,260,644,"1,230",82,284,315,549
"Census Tract 8044.03, Cook County, Illinois","2,252","1,087",81,162,296,548,"1,165",69,225,418,453
"Census Tract 8044.04, Cook County, Illinois","1,270",544,16,216,229,83,726,62,161,381,122
"Census Tract 8044.05, Cook County, Illinois",483,250,8,67,107,68,233,8,102,41,82
"Census Tract 8044.06, Cook County, Illinois","1,593",733,43,176,258,256,860,60,364,262,174
"Census Tract 8045.05, Cook County, Illinois","1,954",965,44,239,288,394,989,50,234,325,380
"Census Tract 8045.06, Cook County, Illinois","2,578","1,256",86,114,348,708,"1,322",46,317,390,569
"Census Tract 8045.07, Cook County, Illinois","5,575","2,770",116,383,"1,110","1,161","2,805",93,654,703,"1,355"
"Census Tract 8045.08, Cook County, Illinois",610,273,18,67,109,79,337,43,75,112,107
"Census Tract 8045.09, Cook County, Illinois","1,628",726,58,233,242,193,902,54,303,334,211
"Census Tract 8045.10, Cook County, Illinois","1,142",587,112,219,211,45,555,80,309,129,37
"Census Tract 8045.11, Cook County, Illinois",376,188,39,27,88,34,188,17,51,54,66
"Census Tract 8046.03, Cook County, Illinois","2,242","1,180",17,279,375,509,"1,062",10,303,448,301
"Census Tract 8046.06, Cook County, Illinois","3,787","1,657",46,286,618,707,"2,130",93,517,914,606
"Census Tract 8046.07, Cook County, Illinois","3,807","1,860",16,374,860,610,"1,947",25,533,602,787
"Census Tract 8046.08, Cook County, Illinois","1,778",687,10,190,179,308,"1,091",48,254,408,381
"Census Tract 8046.09, Cook County, Illinois","2,806","1,225",0,217,327,681,"1,581",35,334,491,721
"Census Tract 8046.10, Cook County, Illinois","1,355",482,31,113,180,158,873,18,202,341,312
"Census Tract 8046.11, Cook County, Illinois","2,706","1,223",46,342,311,524,"1,483",27,374,490,592
"Census Tract 8047.01, Cook County, Illinois","1,567",647,34,102,136,375,920,61,266,305,288
"Census Tract 8047.05, Cook County, Illinois","1,586",752,98,171,202,281,834,58,202,257,317
"Census Tract 8047.06, Cook County, Illinois","1,421",703,53,102,274,274,718,46,154,256,262
"Census Tract 8047.09, Cook County, Illinois","2,582",967,105,170,372,320,"1,615",42,598,524,451
"Census Tract 8047.10, Cook County, Illinois","2,387","1,153",96,205,394,458,"1,234",59,271,410,494
"Census Tract 8047.11, Cook County, Illinois","2,241",958,112,264,138,444,"1,283",38,350,407,488
"Census Tract 8047.12, Cook County, Illinois","2,713","1,338",12,430,351,545,"1,375",32,235,514,594
"Census Tract 8047.13, Cook County, Illinois","1,591",725,36,128,247,314,866,42,183,233,408
"Census Tract 8047.14, Cook County, Illinois","1,913",969,23,177,274,495,944,12,159,412,361
"Census Tract 8047.15, Cook County, Illinois",579,335,17,176,88,54,244,15,12,136,81
"Census Tract 8047.16, Cook County, Illinois","1,843",854,26,196,230,402,989,39,168,246,536
"Census Tract 8048.03, Cook County, Illinois","2,999","1,414",35,377,528,474,"1,585",72,298,653,562
"Census Tract 8048.04, Cook County, Illinois","2,896","1,275",205,334,384,352,"1,621",54,639,394,534
"Census Tract 8048.05, Cook County, Illinois","3,284","1,543",58,493,617,375,"1,741",117,500,656,468
"Census Tract 8048.06, Cook County, Illinois","1,236",569,22,230,196,121,667,20,274,285,88
"Census Tract 8048.07, Cook County, Illinois","2,563","1,162",89,462,351,260,"1,401",73,497,544,287
"Census Tract 8048.08, Cook County, Illinois","1,487",711,51,163,235,262,776,46,165,272,293
"Census Tract 8048.09, Cook County, Illinois","2,456","1,148",27,357,331,433,"1,308",54,396,346,512
"Census Tract 8048.10, Cook County, Illinois","3,444","1,558",95,319,552,592,"1,886",168,521,541,656
"Census Tract 8049.01, Cook County, Illinois","4,104","1,877",71,242,440,"1,124","2,227",59,519,549,"1,100"
"Census Tract 8049.02, Cook County, Illinois","2,881","1,396",105,338,372,581,"1,485",132,419,414,520
"Census Tract 8050.01, Cook County, Illinois","3,179","1,648",87,258,356,947,"1,531",78,286,408,759
"Census Tract 8050.02, Cook County, Illinois","3,058","1,534",204,480,401,449,"1,524",169,464,501,390
"Census Tract 8051.05, Cook County, Illinois","2,192",901,63,322,351,165,"1,291",58,380,528,325
"Census Tract 8051.06, Cook County, Illinois","1,807",829,10,240,167,412,978,44,227,240,467
"Census Tract 8051.07, Cook County, Illinois","2,476","1,452",137,300,543,472,"1,024",69,308,355,292
"Census Tract 8051.08, Cook County, Illinois","1,963",895,29,330,274,262,"1,068",76,296,323,373
"Census Tract 8051.09, Cook County, Illinois","2,732","1,388",104,427,288,569,"1,344",86,444,320,494
"Census Tract 8051.10, Cook County, Illinois","2,788","1,255",69,198,353,635,"1,533",45,326,427,735
"Census Tract 8051.11, Cook County, Illinois","2,655","1,385",204,369,415,397,"1,270",105,389,388,388
"Census Tract 8051.12, Cook County, Illinois","1,408",640,31,291,172,146,768,43,276,243,206
"Census Tract 8052.01, Cook County, Illinois","1,825",760,37,185,218,320,"1,065",89,235,381,360
"Census Tract 8052.02, Cook County, Illinois","1,946",862,38,196,181,447,"1,084",51,193,307,533
"Census Tract 8053.01, Cook County, Illinois","1,489",640,53,166,175,246,849,198,296,129,226
"Census Tract 8053.02, Cook County, Illinois","1,895",916,67,187,191,471,979,81,324,248,326
"Census Tract 8054.01, Cook County, Illinois","2,332","1,068",84,370,254,360,"1,264",114,409,347,394
"Census Tract 8054.02, Cook County, Illinois","2,889","1,471",139,498,456,378,"1,418",131,607,421,259
"Census Tract 8055.01, Cook County, Illinois","2,282","1,091",46,259,180,606,"1,191",57,247,310,577
"Census Tract 8055.02, Cook County, Illinois","2,297","1,051",1,129,160,761,"1,246",25,144,301,776
"Census Tract 8056, Cook County, Illinois","2,884","1,463",26,107,332,998,"1,421",32,152,302,935
"Census Tract 8057.01, Cook County, Illinois","3,217","1,506",43,196,395,872,"1,711",31,271,486,923
"Census Tract 8057.02, Cook County, Illinois","1,201",535,24,95,90,326,666,18,149,145,354
"Census Tract 8058.01, Cook County, Illinois","1,665",753,44,124,155,430,912,45,193,273,401
"Census Tract 8058.02, Cook County, Illinois","3,078","1,432",38,317,348,729,"1,646",42,370,435,799
"Census Tract 8059.01, Cook County, Illinois","2,704","1,297",67,333,310,587,"1,407",57,365,474,511
"Census Tract 8059.02, Cook County, Illinois","3,642","1,601",143,422,273,763,"2,041",295,663,410,673
"Census Tract 8060.01, Cook County, Illinois","2,257","1,115",42,362,259,452,"1,142",102,417,177,446
"Census Tract 8060.02, Cook County, Illinois","2,437","1,022",125,211,289,397,"1,415",215,484,395,321
"Census Tract 8060.03, Cook County, Illinois","2,646","1,180",13,433,382,352,"1,466",82,626,403,355
"Census Tract 8060.04, Cook County, Illinois","3,715","1,534",217,483,346,488,"2,181",339,720,630,492
"Census Tract 8061.02, Cook County, Illinois","2,265","1,226",47,321,518,340,"1,039",93,310,321,315
"Census Tract 8061.03, Cook County, Illinois","2,948","1,347",183,200,480,484,"1,601",196,423,447,535
"Census Tract 8061.04, Cook County, Illinois","1,690",676,44,218,265,149,"1,014",157,381,256,220
"Census Tract 8062.01, Cook County, Illinois","2,689","1,033",0,27,341,665,"1,656",15,414,231,996
"Census Tract 8062.02, Cook County, Illinois","3,281","1,434",28,172,397,837,"1,847",95,472,470,810
"Census Tract 8063, Cook County, Illinois","2,661","1,312",125,323,419,445,"1,349",96,407,327,519
"Census Tract 8064, Cook County, Illinois","1,259",625,36,222,224,143,634,52,176,187,219
"Census Tract 8065.01, Cook County, Illinois",561,259,15,111,70,63,302,23,119,86,74
"Census Tract 8065.02, Cook County, Illinois","1,868",960,75,318,232,335,908,72,395,207,234
"Census Tract 8066, Cook County, Illinois","1,485",683,36,214,176,257,802,64,238,260,240
"Census Tract 8067, Cook County, Illinois","2,103",902,29,110,100,663,"1,201",36,103,147,915
"Census Tract 8068.01, Cook County, Illinois","1,796",823,101,125,198,399,973,140,131,204,498
"Census Tract 8068.02, Cook County, Illinois","1,290",593,31,78,144,340,697,44,115,139,399
"Census Tract 8069, Cook County, Illinois","2,049",785,29,87,333,336,"1,264",0,384,305,575
"Census Tract 8070, Cook County, Illinois","2,488","1,070",205,228,249,388,"1,418",250,311,306,551
"Census Tract 8071, Cook County, Illinois","1,852",901,0,58,225,618,951,8,144,168,631
"Census Tract 8072, Cook County, Illinois","2,067",963,98,156,190,519,"1,104",52,229,159,664
"Census Tract 8073, Cook County, Illinois","3,092","1,286",82,267,351,586,"1,806",62,540,517,687
"Census Tract 8074, Cook County, Illinois","2,822","1,406",189,344,298,575,"1,416",286,167,387,576
"Census Tract 8075, Cook County, Illinois","1,420",612,15,112,182,303,808,32,185,212,379
"Census Tract 8076, Cook County, Illinois","2,057",963,125,138,217,483,"1,094",179,267,230,418
"Census Tract 8077, Cook County, Illinois","2,431","1,193",132,262,240,559,"1,238",232,221,333,452
"Census Tract 8078, Cook County, Illinois","1,194",529,88,56,114,271,665,95,147,175,248
"Census Tract 8079, Cook County, Illinois","1,927",894,70,147,167,510,"1,033",86,165,195,587
"Census Tract 8080.01, Cook County, Illinois","1,828",867,93,153,193,428,961,187,174,272,328
"Census Tract 8080.02, Cook County, Illinois","1,861",852,72,135,151,494,"1,009",76,220,204,509
"Census Tract 8081, Cook County, Illinois","2,456",989,129,194,318,348,"1,467",343,517,316,291
"Census Tract 8082, Cook County, Illinois","2,901","1,388",257,322,392,417,"1,513",283,505,288,437
"Census Tract 8083.01, Cook County, Illinois","2,808","1,330",96,270,388,576,"1,478",110,438,438,492
"Census Tract 8083.02, Cook County, Illinois","1,708",807,89,192,204,322,901,50,195,237,419
"Census Tract 8084, Cook County, Illinois","1,856",850,72,196,286,296,"1,006",91,333,258,324
"Census Tract 8085, Cook County, Illinois","1,986",997,54,224,308,411,989,135,125,278,451
"Census Tract 8086, Cook County, Illinois","1,170",545,18,59,99,369,625,1,111,110,403
"Census Tract 8087.02, Cook County, Illinois",408,183,6,15,16,146,225,0,5,49,171
"Census Tract 8088, Cook County, Illinois","2,014",947,0,1,69,877,"1,067",0,21,47,999
"Census Tract 8089, Cook County, Illinois","2,665","1,117",0,48,103,966,"1,548",7,179,280,"1,082"
"Census Tract 8090, Cook County, Illinois","2,585","1,078",29,20,85,944,"1,507",29,43,264,"1,171"
"Census Tract 8091, Cook County, Illinois","2,039",870,11,7,72,780,"1,169",20,82,185,882
"Census Tract 8092, Cook County, Illinois",377,108,0,13,13,82,269,33,0,45,191
"Census Tract 8093, Cook County, Illinois","1,240",675,20,34,40,581,565,0,48,64,453
"Census Tract 8094, Cook County, Illinois","2,702","1,234",0,96,122,"1,016","1,468",18,135,162,"1,153"
"Census Tract 8095, Cook County, Illinois","1,958",907,46,43,63,755,"1,051",0,25,225,801
"Census Tract 8096, Cook County, Illinois",958,478,0,15,37,426,480,0,92,74,314
"Census Tract 8097, Cook County, Illinois","1,004",404,0,55,78,271,600,16,58,93,433
"Census Tract 8098, Cook County, Illinois","1,496",781,29,130,113,509,715,35,67,104,509
"Census Tract 8099, Cook County, Illinois","1,829",936,0,22,91,823,893,9,8,95,781
"Census Tract 8100, Cook County, Illinois","3,080","1,343",0,53,110,"1,180","1,737",9,36,271,"1,421"
"Census Tract 8101, Cook County, Illinois","2,255",985,0,88,176,721,"1,270",29,90,66,"1,085"
"Census Tract 8102, Cook County, Illinois","1,689",781,13,39,192,537,908,0,44,282,582
"Census Tract 8103.01, Cook County, Illinois","1,230",547,0,86,206,255,683,34,113,101,435
"Census Tract 8103.02, Cook County, Illinois","1,389",625,14,63,68,480,764,14,75,154,521
"Census Tract 8104, Cook County, Illinois","3,464","1,674",80,330,440,824,"1,790",107,428,472,783
"Census Tract 8105.01, Cook County, Illinois","3,217","1,392",119,591,382,300,"1,825",247,838,328,412
"Census Tract 8105.02, Cook County, Illinois","3,345","1,656",176,629,474,377,"1,689",266,585,492,346
"Census Tract 8106, Cook County, Illinois","2,880","1,376",209,500,327,340,"1,504",248,417,447,392
"Census Tract 8107.01, Cook County, Illinois","2,481","1,039",162,239,419,219,"1,442",208,563,381,290
