,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 819, Cook County, Illinois",415,224,5,5,31,183,191,0,23,6,162
"Census Tract 901, Cook County, Illinois","2,121",923,137,195,260,331,"1,198",181,276,266,475
"Census Tract 902, Cook County, Illinois","4,263","2,110",106,468,691,845,"2,153",82,434,688,949
"Census Tract 903, Cook County, Illinois",902,481,24,52,133,272,421,17,100,115,189
"Census Tract 1001, Cook County, Illinois","3,310","1,756",215,258,534,749,"1,554",187,377,327,663
"Census Tract 1002, Cook County, Illinois","4,430","2,115",137,537,891,550,"2,315",111,840,703,661
"Census Tract 1003, Cook County, Illinois","3,889","1,642",132,323,726,461,"2,247",358,638,649,602
"Census Tract 1004, Cook County, Illinois","1,954",919,67,196,307,349,"1,035",35,211,217,572
"Census Tract 1005, Cook County, Illinois","3,466","1,721",29,574,626,492,"1,745",116,478,516,635
"Census Tract 1006, Cook County, Illinois","2,877","1,288",91,547,297,353,"1,589",108,658,380,443
"Census Tract 1007, Cook County, Illinois","2,931","1,319",61,491,437,330,"1,612",127,449,583,453
"Census Tract 1101, Cook County, Illinois","3,135","1,503",121,299,558,525,"1,632",210,529,387,506
"Census Tract 1102, Cook County, Illinois","1,512",719,50,235,189,245,793,79,297,179,238
"Census Tract 1103, Cook County, Illinois","2,730","1,369",285,408,250,426,"1,361",161,457,362,381
"Census Tract 1104, Cook County, Illinois","2,706","1,347",188,425,291,443,"1,359",118,427,339,475
"Census Tract 1105.01, Cook County, Illinois","2,374","1,094",71,136,404,483,"1,280",101,290,372,517
"Census Tract 1105.02, Cook County, Illinois","1,790",849,61,379,209,200,941,147,347,258,189
"Census Tract 1201, Cook County, Illinois","2,402","1,185",35,91,258,801,"1,217",8,166,263,780
"Census Tract 1202, Cook County, Illinois","2,530","1,211",65,194,283,669,"1,319",61,265,333,660
"Census Tract 1203, Cook County, Illinois","3,173","1,496",63,160,301,972,"1,677",65,383,123,"1,106"
"Census Tract 1204, Cook County, Illinois","1,443",766,30,130,240,366,677,14,149,112,402
"Census Tract 1301, Cook County, Illinois","2,549","1,033",78,217,234,504,"1,516",217,409,419,471
"Census Tract 1302, Cook County, Illinois",766,467,27,100,108,232,299,11,50,68,170
"Census Tract 1303, Cook County, Illinois","1,778","1,058",67,162,365,464,720,35,185,187,313
