,level_0,index, community_id,Median_household_income,Mean_household_income,Median_family_income,Mean_family_income,Per_capita_income,18_25_no_high_diploma,25_over_less_than_9th_grade,25_over_9_12_grade_wno_diploma,25_plus_poverty_rate,male_less_than_hs_diploma,male_hs,male_college,male_b_or_more,female_less_than_hs_diploma,female_hs,female_college,female_b_or_more,MALE_LESS_THAN_HS_DIPLOMA,MALE_HS,MALE_COLLEGE,MALE_B_OR_MORE,FEMALE_LESS_THAN_HS_DIPLOMA,FEMALE_HS,FEMALE_COLLEGE,FEMALE_B_OR_MORE,Crime Rate,Total_Population,White_Prop,Black_Prop,SES
10,47,47,48.0,50694.8,59902.6,57728.8,66051.0,9734.925373134327,0.16281348788198102,0.03782491783686884,0.06678119709192311,0.21913255651827507,0.0,16.51851851851852,5.296296296296297,22.74074074074074,0.032467532467532464,21.733766233766232,13.188311688311689,23.292207792207794,158.8895784846134,286.17869149211276,521.9935350400827,324.6881303335919,146.87075332348596,347.16635893648447,641.1840841949778,440.8969719350074,0.11776119402985075,13400.0,0.0341044776119403,0.933955223880597,38
11,27,51,52.0,44186.0,54569.83,48704.0,58198.83,4185.096255107629,0.21553867403314916,0.19079925650557622,0.10965541893051187,0.20851944523877608,33.82829046898638,119.8177004538578,87.13388804841149,75.44402420574886,91.0198511166253,230.24168734491315,93.17717121588089,114.02233250620347,1.188235294117647,8.788235294117648,17.152941176470588,7.91764705882353,8.5,8.238095238095237,18.261904761904763,13.380952380952381,0.05825856186023,23739.0,0.8266565567210076,0.028223598298159146,64
12,42,54,55.0,53070.0,61940.0,66510.5,73223.5,5335.296637395589,0.15316239316239316,0.08859422958870472,0.08859422958870472,0.22140577041129528,127.93468611287254,399.8871274571972,276.0583386176284,142.20545339251743,156.6218487394958,358.218487394958,429.75,185.71218487394958,31.243243243243242,10.801801801801801,0.0,16.27027027027027,1.0,0.0,126.0,24.0,0.06682373099164704,9338.0,0.8622831441422146,0.04915399443135575,44
13,44,20,21.0,44001.3,58604.2,46503.2,62520.0,5562.875476135695,0.23978967909800522,0.16578280472636817,0.09630985696517413,0.22212764303482585,51.93090909090909,155.20060606060605,142.7440404040404,236.34828282828283,95.39259259259259,137.74795321637427,111.10136452241716,289.96315789473687,0.0,13.939086294416244,47.7005076142132,37.88324873096447,12.182051282051281,13.884615384615385,22.9,13.217948717948717,0.060357389370350484,39117.0,0.8308152465679883,0.028223023237978373,42
14,50,15,16.0,52144.07,72086.87,65117.13,85461.6,7380.315100017702,0.18336192810457516,0.11205742609856949,0.10099956339728279,0.21217864755887716,93.69273560209425,140.4971640488656,154.46487783595114,312.5291230366492,50.50731271631126,173.70425365635816,116.99352461761751,319.2659372557776,76.85452462772051,55.76288659793814,29.948453608247423,23.46964490263459,3.685579196217494,10.340425531914894,23.742316784869978,22.43262411347518,0.05009736236502036,56490.0,0.7346255974508763,0.032359709683129755,34
15,52,55,56.0,52305.55,62302.55,61669.91,71029.45,6930.029070604151,0.12630291005291006,0.1019555945810336,0.0783780732563974,0.10158178625188158,121.91058420225681,375.2493929438652,319.00557063276676,279.1704042279674,119.39742033383915,429.4393019726859,257.78285280728375,249.3619119878604,71.4654605263158,143.91940789473685,76.8092105263158,38.50986842105263,34.226190476190474,94.31547619047619,116.69642857142857,32.666666666666664,0.055234147885905076,34743.0,0.7531876924848171,0.043807385660420806,32
16,54,63,64.0,57465.57,67159.71,61976.43,73611.43,6888.352690986422,0.15159428257284221,0.0907253449002952,0.07129827098017953,0.14948189649978916,95.23437847453859,380.9083833666889,250.00689348454526,215.41427618412274,162.2060370009737,433.6027263875365,302.81655306718596,178.65861733203505,1.1428571428571428,7.875,10.607142857142858,2.4107142857142856,2.7439024390243905,30.878048780487806,1.6219512195121952,0.0,0.040691967937183056,24452.0,0.71163912972354,0.007320464583674137,29
17,55,16,17.0,59497.55,68798.45,71099.45,79134.73,6646.180289410727,0.10892238972640983,0.07033216389326982,0.07343107277350414,0.1417007306318195,122.59444444444445,461.30694444444447,346.5308333333333,220.05833333333334,154.79858987427795,426.29145429833505,354.59250764525996,315.08622154264356,1.393822393822394,11.532818532818533,42.61003861003861,41.640926640926644,3.894230769230769,12.711538461538462,23.576923076923077,11.076923076923077,0.03625763593710078,43053.0,0.8627273360741412,0.01683970919564258,28
18,57,10,11.0,64440.5,76499.0,84938.5,90625.5,6656.978683966636,0.12975597092419522,0.0707213775985107,0.06313165787568517,0.1539792119143655,143.97282371748292,322.61938671704695,338.353291672722,413.2171196047086,142.88039641596524,407.1200108607114,332.04615802335053,409.74762421938635,3.2384615384615385,7.8076923076923075,2.0923076923076924,24.353846153846153,0.584070796460177,21.053097345132745,19.663716814159294,0.0,0.04552363299351251,26975.0,0.8206116774791473,0.012604263206672845,25
19,58,75,76.0,40592.17,48848.67,50024.0,57435.0,5714.960205045191,0.14479368932038836,0.07157105030891439,0.074159626780986,0.37607237422771406,155.4339942382647,457.4136587019149,401.4661921708185,311.59752584307745,191.8192453451969,374.4985994397759,374.53484923381114,328.1654308782336,0.0,11.366412213740459,21.862595419847327,4.67175572519084,0.6,7.008695652173913,11.669565217391304,7.51304347826087,0.08988713521291425,22239.0,0.7942353523090067,0.011106614506047933,24
20,59,21,22.0,60411.41,78467.93,73920.11,92665.0,12263.290797380325,0.15168580441640378,0.07954279928343329,0.05851604486330711,0.27455292468260767,10.533953351048126,45.86625332152347,105.77029819899616,462.184086211987,13.412699719980234,41.19815516389392,83.32647010377202,474.12724427606656,16.79283154121864,48.45448028673835,19.45663082437276,23.272401433691755,25.503597122302157,17.610711430855314,22.063948840927257,14.541167066346922,0.06840861521841875,74055.0,0.8140571197083248,0.059482816825332525,23
21,60,9,10.0,72704.75,87027.88,90503.75,105223.88,6754.675520099362,0.10157418824496506,0.03234722627028078,0.04605460021373749,0.11599371741312867,106.73218594177256,417.54318803281325,568.5410165674763,536.6116294032491,155.43313890689134,543.8186073305969,511.8036292935839,608.4135522431051,7.1138211382113825,6.056910569105691,21.284552845528456,7.4227642276422765,16.642201834862384,4.844036697247707,0.045871559633027525,30.38532110091743,0.02978479470704851,41867.0,0.9121264958081544,0.009554064059999522,21
